,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
9146,2014-04-07 23:00:00,40.7252,-73.9923,B02512,4,Monday,7,23,0,2014-04-07,23:00:00,-0.16303308586300552,-0.9798663933010582,0.11524783812793081,4,0
9147,2014-04-07 23:01:00,40.74,-74.0057,B02512,4,Monday,7,23,1,2014-04-07,23:00:00,-0.17643142911495877,-0.9791653545156386,0.10053436893280417,0,0
9148,2014-04-07 23:03:00,40.7627,-73.9821,B02512,4,Monday,7,23,3,2014-04-07,23:00:00,-0.1535881994260807,-0.9850575083142102,0.07792541505089522,0,0
9149,2014-04-07 23:04:00,40.714,-74.0096,B02512,4,Monday,7,23,4,2014-04-07,23:00:00,-0.1797144047943736,-0.9755687726502571,0.1263657490741661,4,0
9150,2014-04-07 23:06:00,40.7081,-74.0062,B02512,4,Monday,7,23,6,2014-04-07,23:00:00,-0.17626079267517228,-0.9754234999334114,0.1322162196675358,4,0
9151,2014-04-07 23:11:00,40.7618,-73.9855,B02512,4,Monday,7,23,11,2014-04-07,23:15:00,-0.15692539722662155,-0.9844599585973794,0.07882264664240317,0,0
9152,2014-04-07 23:16:00,40.7561,-73.973,B02512,4,Monday,7,23,16,2014-04-07,23:15:00,-0.14454018633163868,-0.9858840073750565,0.08450360073579456,0,0
9153,2014-04-07 23:16:00,40.7561,-73.973,B02512,4,Monday,7,23,16,2014-04-07,23:15:00,-0.14454018633163868,-0.9858840073750565,0.08450360073579456,0,0
9154,2014-04-07 23:17:00,40.7575,-73.9762,B02512,4,Monday,7,23,17,2014-04-07,23:15:00,-0.14771166067858063,-0.9855324643138675,0.08310852593453574,0,0
9155,2014-04-07 23:20:00,40.7184,-73.9901,B02512,4,Monday,7,23,20,2014-04-07,23:15:00,-0.16074634586865535,-0.9794266987706075,0.12199981157847792,4,0
9156,2014-04-07 23:23:00,40.7633,-73.967,B02512,4,Monday,7,23,23,2014-04-07,23:30:00,-0.13870336642575526,-0.987310425515519,0.07732722554526085,0,0
9157,2014-04-07 23:24:00,40.774,-73.8724,B02512,4,Monday,7,23,24,2014-04-07,23:30:00,-0.044857500506673156,-0.9967672296874541,0.0666550408408233,3,0
9158,2014-04-07 23:25:00,40.6878,-74.1816,B02512,4,Monday,7,23,25,2014-04-07,23:30:00,-0.34276814455561067,-0.926990750612072,0.15230938039914504,1,1
9159,2014-04-07 23:38:00,40.6482,-73.7826,B02512,4,Monday,7,23,38,2014-04-07,23:45:00,0.04398458095430589,-0.9805421378970072,0.19131772643077388,2,2
9160,2014-04-07 23:45:00,40.6959,-73.9776,B02512,4,Monday,7,23,45,2014-04-07,23:45:00,-0.1480430465822413,-0.9783971903582929,0.14429897524808208,4,0
16697,2014-04-14 23:05:00,40.7422,-74.0043,B02512,4,Monday,14,23,5,2014-04-14,23:00:00,-0.17509891774872183,-0.9796267535037375,0.09834527351608528,0,0
16698,2014-04-14 23:05:00,40.6486,-73.7831,B02512,4,Monday,14,23,5,2014-04-14,23:00:00,0.04349769206111779,-0.9806403810899216,0.1909250998720954,2,2
16699,2014-04-14 23:08:00,40.7268,-73.994,B02512,4,Monday,14,23,8,2014-04-14,23:15:00,-0.16472898509435613,-0.9797684116086108,0.11365835245912792,4,0
16700,2014-04-14 23:11:00,40.7475,-73.9855,B02512,4,Monday,14,23,11,2014-04-14,23:15:00,-0.15673192602119265,-0.9832462311940883,0.0930696094775788,0,0
16701,2014-04-14 23:12:00,40.7223,-73.9867,B02512,4,Monday,14,23,12,2014-04-14,23:15:00,-0.15748963687096698,-0.9804298974059487,0.11812802610224135,4,0
16702,2014-04-14 23:12:00,40.7154,-74.007,B02512,4,Monday,14,23,12,2014-04-14,23:15:00,-0.1772087458670338,-0.9762058429098378,0.12497684848373306,4,0
16703,2014-04-14 23:13:00,40.6878,-74.1815,B02512,4,Monday,14,23,13,2014-04-14,23:15:00,-0.34267544376686015,-0.9270250227915178,0.15230938039914504,1,1
16704,2014-04-14 23:14:00,40.7641,-73.9766,B02512,4,Monday,14,23,14,2014-04-14,23:15:00,-0.14818415600609136,-0.9859942579970985,0.07652959627172548,0,0
