,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
7789,2014-04-07 01:27:00,40.7419,-74.0034,B02512,4,Monday,7,1,27,2014-04-07,01:30:00,-0.17421200996545966,-0.9797548537195611,0.09864381479219102,1,0
15863,2014-04-14 01:02:00,40.7442,-73.9842,B02512,4,Monday,14,1,2,2014-04-14,01:00:00,-0.1554047749410412,-0.9831404343021872,0.09635477344496803,1,0
15864,2014-04-14 01:23:00,40.7591,-73.9705,B02512,4,Monday,14,1,23,2014-04-14,01:30:00,-0.14211053464649517,-0.9864887586852157,0.0815139554321192,3,0
15865,2014-04-14 01:24:00,40.7217,-73.9945,B02512,4,Monday,14,1,24,2014-04-14,01:30:00,-0.16512030542920106,-0.9791016000087572,0.11872380382744993,1,0
22927,2014-04-21 01:01:00,40.7615,-73.9939,B02512,4,Monday,21,1,1,2014-04-21,01:00:00,-0.1651853015142849,-0.9830837050932029,0.07912170968738717,3,0
22928,2014-04-21 01:51:00,40.744,-74.0065,B02512,4,Monday,21,1,51,2014-04-21,01:45:00,-0.1772849145191923,-0.979411769832334,0.09655384092731763,1,0
30903,2014-04-28 01:14:00,40.7707,-73.9855,B02512,4,Monday,28,1,14,2014-04-28,01:15:00,-0.1570296109143857,-0.98511373551657,0.06994733299180267,3,0
65813,2014-04-07 01:01:00,40.6986,-73.919,B02598,4,Monday,7,1,1,2014-04-07,01:00:00,-0.09052296284546556,-0.9857725235117595,0.14162671035837854,1,0
65814,2014-04-07 01:02:00,40.7559,-73.9923,B02598,4,Monday,7,1,2,2014-04-07,01:00:00,-0.16353687025165922,-0.9828942535007129,0.08470288367917836,3,0
65815,2014-04-07 01:02:00,40.8392,-73.8589,B02598,4,Monday,7,1,2,2014-04-07,01:00:00,-0.03146740953312636,-0.9995036461307985,0.0015044960997400638,3,-1
65816,2014-04-07 01:02:00,40.7712,-73.9642,B02598,4,Monday,7,1,2,2014-04-07,01:00:00,-0.13601740643933857,-0.9882692771697131,0.06944854892629941,3,0
65817,2014-04-07 01:02:00,40.7331,-74.006,B02598,4,Monday,7,1,2,2014-04-07,01:00:00,-0.17659774858543373,-0.9784064224721578,0.10739696299146188,1,0
65818,2014-04-07 01:03:00,40.7151,-74.0138,B02598,4,Monday,7,1,3,2014-04-07,01:00:00,-0.1838358418200909,-0.974941375277987,0.12527449075277053,1,0
65819,2014-04-07 01:08:00,40.7423,-74.0043,B02598,4,Monday,7,1,8,2014-04-07,01:15:00,-0.17510064727670419,-0.9796364297022215,0.09824575778914632,1,0
65820,2014-04-07 01:09:00,40.7748,-73.991,B02598,4,Monday,7,1,9,2014-04-07,01:15:00,-0.16249066971355106,-0.9845098599388186,0.06585679873247291,3,0
65821,2014-04-07 01:11:00,40.7159,-74.0117,B02598,4,Monday,7,1,11,2014-04-07,01:15:00,-0.18180636629480768,-0.9754234912559697,0.12448075305320615,1,0
65822,2014-04-07 01:12:00,40.7332,-74.0031,B02598,4,Monday,7,1,12,2014-04-07,01:15:00,-0.17376150745723007,-0.978925010538325,0.10729754083263501,1,0
65823,2014-04-07 01:13:00,40.7442,-73.7835,B02598,4,Monday,7,1,13,2014-04-07,01:15:00,0.043708907679271616,-0.9943868910156921,0.09635477344496803,0,-1
65824,2014-04-07 01:18:00,40.6961,-73.9678,B02598,4,Monday,7,1,18,2014-04-07,01:15:00,-0.13845183368793335,-0.9798295630668417,0.14410106553627972,1,0
65825,2014-04-07 01:29:00,40.736,-74.0067,B02598,4,Monday,7,1,29,2014-04-07,01:30:00,-0.17733738029066748,-0.9785849100111033,0.10451328839053957,1,0
65826,2014-04-07 01:30:00,40.7195,-74.0099,B02598,4,Monday,7,1,30,2014-04-07,01:30:00,-0.18013046209963207,-0.9761835294026651,0.12090795485297606,1,0
65827,2014-04-07 01:39:00,40.7092,-73.9371,B02598,4,Monday,7,1,39,2014-04-07,01:45:00,-0.10850786893091235,-0.9854095939077729,0.13112579690735932,1,0
65828,2014-04-07 01:44:00,40.7137,-74.0134,B02598,4,Monday,7,1,44,2014-04-07,01:45:00,-0.1834132418157995,-0.9748415160460556,0.1266633384987427,1,0
65829,2014-04-07 01:45:00,40.6962,-73.9713,B02598,4,Monday,7,1,45,2014-04-07,01:45:00,-0.14188244750605467,-0.9793532375154302,0.1440021085183713,1,0
