,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
1027,2014-04-02 03:18:00,40.7339,-73.9949,B02512,4,Wednesday,2,3,18,2014-04-02,03:15:00,-0.1657410497602218,-0.9803907449275744,0.10660155573318501,1,0
1028,2014-04-02 03:33:00,40.7402,-74.0059,B02512,4,Wednesday,2,3,33,2014-04-02,03:30:00,-0.17663082462994645,-0.9791498165599664,0.10033538020623253,1,0
1029,2014-04-02 03:43:00,40.7731,-73.9584,B02512,4,Wednesday,2,3,43,2014-04-02,03:45:00,-0.1303001865579964,-0.9891705878796513,0.06755301219617461,3,0
1030,2014-04-02 03:49:00,40.6461,-73.7769,B02512,4,Wednesday,2,3,49,2014-04-02,03:45:00,0.049552525454231444,-0.9798720825915881,0.19337851219494773,0,1
1031,2014-04-02 03:56:00,40.7475,-73.9565,B02512,4,Wednesday,2,3,56,2014-04-02,04:00:00,-0.1281558807244389,-0.9873773939216122,0.0930696094775788,3,0
10207,2014-04-09 03:06:00,40.7222,-73.9889,B02512,4,Wednesday,9,3,6,2014-04-09,03:00:00,-0.159644299816032,-0.9800693838076597,0.11822732534876562,1,0
10208,2014-04-09 03:17:00,40.7556,-73.9821,B02512,4,Wednesday,9,3,17,2014-04-09,03:15:00,-0.1534990939728715,-0.9844860191240026,0.08500180173903266,1,0
10209,2014-04-09 03:34:00,40.777,-73.9891,B02512,4,Wednesday,9,3,34,2014-04-09,03:30:00,-0.16064274211522409,-0.9849574271880719,0.06366141714379016,3,0
10210,2014-04-09 03:44:00,40.6951,-74.1784,B02512,4,Wednesday,9,3,44,2014-04-09,03:45:00,-0.34017323644570435,-0.9291022008797596,0.14509055629654824,4,-1
10211,2014-04-09 03:51:00,40.7244,-73.6194,B02512,4,Wednesday,9,3,51,2014-04-09,03:45:00,0.2051349261381437,-0.9718301328423016,0.11604247057871953,0,-1
10212,2014-04-09 03:54:00,40.7246,-73.9936,B02512,4,Wednesday,9,3,54,2014-04-09,04:00:00,-0.16429530666493752,-0.9795852498443804,0.11584381940870521,1,0
18113,2014-04-16 03:03:00,40.7277,-73.9912,B02512,4,Wednesday,16,3,3,2014-04-16,03:00:00,-0.16200160371039846,-0.980326338231885,0.11276413864399788,1,0
18114,2014-04-16 03:16:00,40.7166,-74.0097,B02512,4,Wednesday,16,3,16,2014-04-16,03:15:00,-0.17987090773984624,-0.9758706068735171,0.12378616719632764,1,0
18115,2014-04-16 03:27:00,40.7254,-73.9874,B02512,4,Wednesday,16,3,27,2014-04-16,03:30:00,-0.15823347096949367,-0.9806762246017662,0.11504916847058358,1,0
18116,2014-04-16 03:31:00,40.7108,-74.006,B02512,4,Wednesday,16,3,31,2014-04-16,03:30:00,-0.1761284718945771,-0.9758064837304218,0.12953944456323457,1,0
18117,2014-04-16 03:31:00,40.7562,-73.9712,B02512,4,Wednesday,16,3,31,2014-04-16,03:30:00,-0.14276657195712647,-0.986150940681096,0.08440395799605752,3,0
18118,2014-04-16 03:40:00,40.7329,-73.9902,B02512,4,Wednesday,16,3,40,2014-04-16,03:45:00,-0.16111404375859437,-0.9810532135652956,0.10759580408621959,1,0
18119,2014-04-16 03:51:00,40.7448,-74.0334,B02512,4,Wednesday,16,3,51,2014-04-16,03:45:00,-0.20357950770909766,-0.9743643446166402,0.09575754790462522,1,0
18120,2014-04-16 03:51:00,40.7448,-74.0334,B02512,4,Wednesday,16,3,51,2014-04-16,03:45:00,-0.20357950770909766,-0.9743643446166402,0.09575754790462522,1,0
18121,2014-04-16 03:56:00,40.7607,-73.9989,B02512,4,Wednesday,16,3,56,2014-04-16,04:00:00,-0.17008777966020894,-0.982182810110796,0.07991917625401418,1,0
24640,2014-04-23 03:06:00,40.7136,-73.9925,B02512,4,Wednesday,23,3,6,2014-04-23,03:00:00,-0.16299839826447501,-0.9784491721761495,0.1267625324416621,1,0
24641,2014-04-23 03:34:00,40.6952,-74.1792,B02512,4,Wednesday,23,3,34,2014-04-23,03:30:00,-0.3409214068426852,-0.9288433809332052,0.1449916137332676,4,-1
33371,2014-04-30 03:04:00,40.7937,-73.9732,B02512,4,Wednesday,30,3,4,2014-04-30,03:00:00,-0.14509648155684532,-0.9883011762800348,0.0469871897789556,3,0
33372,2014-04-30 03:06:00,40.7629,-73.9972,B02512,4,Wednesday,30,3,6,2014-04-30,03:00:00,-0.1684471229269506,-0.9826414566540825,0.07772602165539932,1,0
33373,2014-04-30 03:33:00,40.7299,-73.9851,B02512,4,Wednesday,30,3,33,2014-04-30,03:30:00,-0.156057212237129,-0.9815389317954392,0.11057789959410558,1,0
33374,2014-04-30 03:35:00,40.7594,-73.9722,B02512,4,Wednesday,30,3,35,2014-04-30,03:30:00,-0.14379088085154193,-0.9862698994001773,0.08121495010835046,3,0
33375,2014-04-30 03:42:00,40.7643,-73.9831,B02512,4,Wednesday,30,3,42,2014-04-30,03:45:00,-0.1545923131830452,-0.9850253398417781,0.07633018128044099,3,0
33376,2014-04-30 03:43:00,40.7138,-73.9442,B02512,4,Wednesday,30,3,43,2014-04-30,03:45:00,-0.11557053588729194,-0.9852030089622117,0.12656414328919696,1,0
33377,2014-04-30 03:44:00,40.8712,-73.9162,B02512,4,Wednesday,30,3,44,2014-04-30,03:45:00,-0.08861486908779338,-0.9955991751213156,-0.03049077687284036,3,0
