,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
3855,2014-04-04 02:03:00,40.7318,-73.9838,B02512,4,Friday,4,2,3,2014-04-04,02:00:00,-0.15481352057002595,-0.9819467390857651,0.10868935296314244,0,0
3856,2014-04-04 02:30:00,40.742,-74.0037,B02512,4,Friday,4,2,30,2014-04-04,02:30:00,-0.17450765753485578,-0.9797122526545046,0.09854430201860277,0,0
3857,2014-04-04 02:33:00,40.749,-73.9705,B02512,4,Friday,4,2,33,2014-04-04,02:30:00,-0.1419858993920891,-0.9856235780867941,0.09157601592777802,0,0
12645,2014-04-11 02:00:00,40.7748,-73.9902,B02512,4,Friday,11,2,0,2014-04-11,02:00:00,-0.16170300991260184,-0.9846395374175848,0.06585679873247291,0,0
12646,2014-04-11 02:04:00,40.7662,-73.9854,B02512,4,Friday,11,2,4,2014-04-11,02:00:00,-0.1568799926114358,-0.9848086165343192,0.07443558771176637,0,0
12647,2014-04-11 02:04:00,40.7442,-74.0067,B02512,4,Friday,11,2,4,2014-04-11,02:00:00,-0.17748423315524722,-0.9793952749608622,0.09635477344496803,0,0
12648,2014-04-11 02:06:00,40.6483,-73.9607,B02512,4,Friday,11,2,6,2014-04-11,02:00:00,-0.1304265000277825,-0.9728432572222693,0.19121957265841977,4,0
12649,2014-04-11 02:07:00,40.7581,-73.9724,B02512,4,Friday,11,2,7,2014-04-11,02:00:00,-0.1439727577177911,-0.9861358162626476,0.08251058670944038,0,0
12650,2014-04-11 02:09:00,40.7892,-73.9431,B02512,4,Friday,11,2,9,2014-04-11,02:15:00,-0.11526181266530293,-0.9920001744776771,0.051481728577884495,3,0
12651,2014-04-11 02:15:00,40.7504,-73.9775,B02512,4,Friday,11,2,15,2014-04-11,02:15:00,-0.14890075168005232,-0.984731337684474,0.09018180931463862,0,0
12652,2014-04-11 02:24:00,40.743,-74.0071,B02512,4,Friday,11,2,24,2014-04-11,02:30:00,-0.17785518580626936,-0.9792097334181037,0.09754912024751272,0,0
12653,2014-04-11 02:26:00,40.7442,-73.9127,B02512,4,Friday,11,2,26,2014-04-11,02:30:00,-0.08477304762938088,-0.9917304512971232,0.09635477344496803,3,0
