,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
7790,2014-04-07 02:07:00,40.7458,-73.8273,B02512,4,Monday,7,2,7,2014-04-07,02:00:00,0.00012678623598352077,-0.995499939317379,0.09476209550418983,2,-1
7791,2014-04-07 02:36:00,40.7415,-74.0086,B02512,4,Monday,7,2,36,2014-04-07,02:30:00,-0.17929723297825967,-0.9787968190610313,0.09904185601222557,4,0
7792,2014-04-07 02:42:00,40.7278,-73.9851,B02512,4,Monday,7,2,42,2014-04-07,02:45:00,-0.15602040594656816,-0.9813074345989777,0.11266477590196987,4,0
15866,2014-04-14 02:44:00,40.7632,-73.9719,B02512,4,Monday,14,2,44,2014-04-14,02:45:00,-0.14353838901859994,-0.9866112720059207,0.07742692573519988,4,0
15867,2014-04-14 02:53:00,40.7215,-73.9884,B02512,4,Monday,14,2,53,2014-04-14,03:00:00,-0.15914094170098522,-0.9800671541098158,0.1189223869152066,4,0
22929,2014-04-21 02:09:00,40.7615,-73.9678,B02512,4,Monday,21,2,9,2014-04-21,02:15:00,-0.13947347010240385,-0.9870597277742309,0.07912170968738717,4,0
22930,2014-04-21 02:31:00,40.7581,-73.9721,B02512,4,Monday,21,2,31,2014-04-21,02:30:00,-0.14367691049858006,-0.986178963713203,0.08251058670944038,4,0
22931,2014-04-21 02:32:00,40.6882,-73.9467,B02512,4,Monday,21,2,32,2014-04-21,02:30:00,-0.11760901403725955,-0.9813716145086203,0.15191403507881582,1,0
22932,2014-04-21 02:50:00,40.7502,-73.9809,B02512,4,Monday,21,2,50,2014-04-21,02:45:00,-0.15224521085272877,-0.9842015403126727,0.09038099257349852,4,0
30904,2014-04-28 02:00:00,40.7641,-73.967,B02512,4,Monday,28,2,0,2014-04-28,02:00:00,-0.13871192824594522,-0.987371369777744,0.07652959627172548,4,0
30905,2014-04-28 02:01:00,40.6765,-73.7591,B02512,4,Monday,28,2,1,2014-04-28,02:00:00,0.06735582954884956,-0.984246687833191,0.16346758001261083,1,1
