,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
2380,2014-04-03 04:02:00,40.7594,-73.9634,B02512,4,Thursday,3,4,2,2014-04-03,04:00:00,-0.13510625020862177,-0.9874970546960955,0.08121495010835046,1,0
2381,2014-04-03 04:04:00,40.7747,-73.9911,B02512,4,Thursday,3,4,4,2014-04-03,04:00:00,-0.16258804598450607,-0.9844871033612591,0.06595658131147818,4,0
2382,2014-04-03 04:13:00,40.7315,-74.0067,B02512,4,Thursday,3,4,13,2014-04-03,04:15:00,-0.17725172225294694,-0.9781122309684948,0.10898757079684812,4,0
2383,2014-04-03 04:22:00,40.7247,-73.9802,B02512,4,Thursday,3,4,22,2014-04-03,04:15:00,-0.15115626907683385,-0.9817102397706925,0.11574449208554766,4,0
2384,2014-04-03 04:27:00,40.7259,-74.003,B02512,4,Thursday,3,4,27,2014-04-03,04:30:00,-0.17352217235834302,-0.9781450742871334,0.11455247421099161,4,0
2385,2014-04-03 04:47:00,40.7136,-74.0413,B02512,4,Thursday,3,4,47,2014-04-03,04:45:00,-0.21053372155784514,-0.9693331792814998,0.1267625324416621,2,0
2386,2014-04-03 04:57:00,40.7592,-74.0029,B02512,4,Thursday,3,4,57,2014-04-03,05:00:00,-0.17399401630420597,-0.9813754612948042,0.08141428780467123,4,0
11376,2014-04-10 04:02:00,40.7654,-73.9857,B02512,4,Thursday,10,4,2,2014-04-10,04:00:00,-0.15716599224364186,-0.9847023889290133,0.07523334446617207,4,0
11377,2014-04-10 04:06:00,40.7301,-74.0069,B02512,4,Thursday,10,4,6,2014-04-10,04:00:00,-0.17741992963533393,-0.9779256707833461,0.11037912389186572,4,0
11378,2014-04-10 04:09:00,40.7644,-73.9824,B02512,4,Thursday,10,4,9,2014-04-10,04:15:00,-0.15390393503660593,-0.9851408497374528,0.07623047263934395,4,0
11379,2014-04-10 04:11:00,40.7329,-74.0086,B02512,4,Thursday,10,4,11,2014-04-10,04:15:00,-0.17913713171042187,-0.9779228144314882,0.10759580408621959,4,0
11380,2014-04-10 04:28:00,40.7679,-73.9681,B02512,4,Thursday,10,4,28,2014-04-10,04:30:00,-0.13983771774131123,-0.9874990007221757,0.07274019706878679,1,0
11381,2014-04-10 04:30:00,40.7612,-73.9977,B02512,4,Thursday,10,4,30,2014-04-10,04:30:00,-0.16891578818813038,-0.9824254671426632,0.0794207656114103,4,0
11382,2014-04-10 04:38:00,40.7095,-74.1933,B02512,4,Thursday,10,4,38,2014-04-10,04:45:00,-0.35468933949124176,-0.9257858321989614,0.13082838128992955,0,1
11383,2014-04-10 04:38:00,40.7095,-74.1933,B02512,4,Thursday,10,4,38,2014-04-10,04:45:00,-0.35468933949124176,-0.9257858321989614,0.13082838128992955,0,1
11384,2014-04-10 04:40:00,40.688,-74.181,B02512,4,Thursday,10,4,40,2014-04-10,04:45:00,-0.3422224290709872,-0.9272248036393145,0.15211171078121463,0,1
11385,2014-04-10 04:40:00,40.688,-74.181,B02512,4,Thursday,10,4,40,2014-04-10,04:45:00,-0.3422224290709872,-0.9272248036393145,0.15211171078121463,0,1
11386,2014-04-10 04:54:00,40.7627,-73.9557,B02512,4,Thursday,10,4,54,2014-04-10,05:00:00,-0.12753218259507904,-0.9887685128945406,0.07792541505089522,1,0
11387,2014-04-10 04:55:00,40.7661,-73.9618,B02512,4,Thursday,10,4,55,2014-04-10,05:00:00,-0.13359598284651647,-0.9882290225155995,0.07453530992177981,1,0
19186,2014-04-17 04:11:00,40.7387,-73.9959,B02512,4,Thursday,17,4,11,2014-04-17,04:15:00,-0.16680523463779415,-0.9807176626146386,0.10182769727883689,4,0
19187,2014-04-17 04:12:00,40.7596,-73.9876,B02512,4,Thursday,17,4,12,2014-04-17,04:15:00,-0.15896437396387203,-0.9839546731847725,0.08101560916343167,4,0
19188,2014-04-17 04:20:00,40.7695,-73.9856,B02512,4,Thursday,17,4,20,2014-04-17,04:15:00,-0.1571147871590136,-0.9850144293824097,0.07114434316531176,4,0
19189,2014-04-17 04:34:00,40.7612,-73.9855,B02512,4,Thursday,17,4,34,2014-04-17,04:30:00,-0.1569179242522985,-0.984413077441603,0.0794207656114103,4,0
19190,2014-04-17 04:39:00,40.8111,-73.9513,B02512,4,Thursday,17,4,39,2014-04-17,04:45:00,-0.12350195112312275,-0.9919027663319191,0.029600172497271367,1,0
19191,2014-04-17 04:53:00,40.7665,-73.9781,B02512,4,Thursday,17,4,53,2014-04-17,05:00:00,-0.1496901186826501,-0.9859496235100373,0.0741364166195655,4,0
19192,2014-04-17 04:59:00,40.6879,-73.9954,B02512,4,Thursday,17,4,59,2014-04-17,05:00:00,-0.16523585707936037,-0.9744378179826086,0.1522105463512361,2,0
25840,2014-04-24 04:02:00,40.6467,-73.7776,B02512,4,Thursday,24,4,2,2014-04-24,04:00:00,0.04887237304811106,-0.9800222360008527,0.19278980288525419,3,2
25841,2014-04-24 04:07:00,40.6654,-73.9838,B02512,4,Thursday,24,4,7,2014-04-24,04:00:00,-0.15334924484512938,-0.9726591731942947,0.17440797546677622,2,0
25842,2014-04-24 04:13:00,40.7216,-73.9824,B02512,4,Thursday,24,4,13,2014-04-24,04:15:00,-0.15325954436755745,-0.981016097689246,0.11882309596544022,4,0
25843,2014-04-24 04:19:00,40.7672,-73.9903,B02512,4,Thursday,24,4,19,2014-04-24,04:15:00,-0.16171564131848626,-0.984101043490022,0.07343832483656146,4,0
