,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
5759,2014-04-05 04:03:00,40.7582,-73.9649,B02512,4,Saturday,5,4,3,2014-04-05,04:00:00,-0.1365738892610219,-0.9871960351608282,0.08241092727823704,0,0
5760,2014-04-05 04:04:00,40.7829,-73.9573,B02512,4,Saturday,5,4,4,2014-04-05,04:00:00,-0.12929155094443842,-0.9899222469081369,0.057772311107720846,1,0
5761,2014-04-05 04:17:00,40.7593,-73.9624,B02512,4,Saturday,5,4,17,2014-04-05,04:15:00,-0.13411759224044506,-0.9876236146070339,0.0813146193630804,0,0
5762,2014-04-05 04:39:00,40.6625,-74.3456,B02512,4,Saturday,5,4,39,2014-04-05,04:45:00,-0.48744980345444294,-0.8549681818527317,0.1772627911651488,4,-1
5763,2014-04-05 04:40:00,40.6949,-74.1772,B02512,4,Saturday,5,4,40,2014-04-05,04:45:00,-0.33904811831751486,-0.9294824600385339,0.1452884370693964,4,1
5764,2014-04-05 04:46:00,40.7891,-73.9402,B02512,4,Saturday,5,4,46,2014-04-05,04:45:00,-0.11238395161088957,-0.9923251414752736,0.05158159571397165,1,0
5765,2014-04-05 04:59:00,40.7719,-73.9537,B02512,4,Saturday,5,4,59,2014-04-05,05:00:00,-0.12563936334692516,-0.989690940314089,0.06875022209413906,1,0
14085,2014-04-12 04:03:00,40.757,-73.999,B02512,4,Saturday,12,4,3,2014-04-12,04:00:00,-0.17013434663652582,-0.9818677148509876,0.08360678577640966,0,0
14086,2014-04-12 04:16:00,40.7138,-73.9574,B02512,4,Saturday,12,4,16,2014-04-12,04:15:00,-0.12856476959410326,-0.9835916925496507,0.12656414328919696,0,0
14087,2014-04-12 04:17:00,40.7433,-73.9937,B02512,4,Saturday,12,4,17,2014-04-12,04:15:00,-0.16472303657786247,-0.9815338264151021,0.09725054664883118,0,0
14088,2014-04-12 04:27:00,40.7409,-74.0051,B02512,4,Saturday,12,4,27,2014-04-12,04:30:00,-0.17585981850046445,-0.9793596970537549,0.0996388881098196,0,0
14089,2014-04-12 04:33:00,40.6804,-73.9563,B02512,4,Saturday,12,4,33,2014-04-12,04:30:00,-0.12686847227150938,-0.9789924551853618,0.1596188066414191,2,0
14090,2014-04-12 04:34:00,40.8457,-73.9675,B02512,4,Saturday,12,4,34,2014-04-12,04:30:00,-0.13961330215274756,-0.9901935018045932,-0.0049954825555390825,1,0
14091,2014-04-12 04:38:00,40.7418,-74.0033,B02512,4,Saturday,12,4,38,2014-04-12,04:45:00,-0.17411230679360218,-0.9797625529071087,0.0987433265793482,0,0
14092,2014-04-12 04:46:00,40.7198,-73.9857,B02512,4,Saturday,12,4,46,2014-04-12,04:45:00,-0.1564620931648436,-0.9802922039102143,0.1206101502997589,0,0
21517,2014-04-19 04:06:00,40.7613,-73.9973,B02512,4,Saturday,19,4,6,2014-04-19,04:00:00,-0.16852414631811563,-0.9825007777103626,0.07932108109628348,0,0
21518,2014-04-19 04:09:00,40.7526,-73.9728,B02512,4,Saturday,19,4,9,2014-04-19,04:15:00,-0.14429927811747081,-0.9856142146849088,0.08799055714011224,0,0
21519,2014-04-19 04:37:00,40.7887,-73.9753,B02512,4,Saturday,19,4,37,2014-04-19,04:30:00,-0.14713513893778507,-0.9877495737208011,0.05198105909015985,1,0
