,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
17,2014-04-01 03:22:00,40.7238,-73.9821,B02512,4,Tuesday,1,3,22,2014-04-01,03:15:00,-0.153005134513247,-0.981317947121569,0.11663839620679342,1,0
18,2014-04-01 03:35:00,40.7531,-74.0039,B02512,4,Tuesday,1,3,35,2014-04-01,03:30:00,-0.17488486282203994,-0.980693810389059,0.08749248550764079,1,0
19,2014-04-01 03:35:00,40.7389,-74.0393,B02512,4,Tuesday,1,3,35,2014-04-01,03:30:00,-0.20920223007576466,-0.9725770032174701,0.10162873483347082,1,0
20,2014-04-01 03:41:00,40.7619,-73.9715,B02512,4,Tuesday,1,3,41,2014-04-01,03:45:00,-0.14312916056891886,-0.9865681625593422,0.07872295738296443,1,0
9179,2014-04-08 03:01:00,40.7258,-73.9836,B02512,4,Tuesday,8,3,1,2014-04-08,03:00:00,-0.1545129133131793,-0.9813158109673988,0.11465181535793592,1,0
9180,2014-04-08 03:03:00,40.7419,-74.0035,B02512,4,Tuesday,8,3,3,2014-04-08,03:00:00,-0.1743099845796115,-0.9797374276198186,0.09864381479219102,1,0
9181,2014-04-08 03:06:00,40.7417,-74.0031,B02512,4,Tuesday,8,3,6,2014-04-08,03:00:00,-0.173914624190797,-0.9797876285151949,0.09884283737906503,1,0
9182,2014-04-08 03:23:00,40.7199,-73.9893,B02512,4,Tuesday,8,3,23,2014-04-08,03:30:00,-0.15999206663632162,-0.97973448775009,0.12051087970182423,1,0
9183,2014-04-08 03:30:00,40.7606,-73.9991,B02512,4,Tuesday,8,3,30,2014-04-08,03:30:00,-0.17028284670333074,-0.9821408935610153,0.08001885598894974,1,0
9184,2014-04-08 03:45:00,40.8256,-73.9487,B02512,4,Tuesday,8,3,45,2014-04-08,03:45:00,-0.12096179884548779,-0.9925422483451951,0.015103922335900362,0,0
