,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
5749,2014-04-05 03:09:00,40.7338,-73.9884,B02512,4,Saturday,5,3,9,2014-04-05,03:15:00,-0.15936334413509562,-0.9814368162365816,0.10670098538196049,0,0
5750,2014-04-05 03:11:00,40.8402,-73.9692,B02512,4,Saturday,5,3,11,2014-04-05,03:15:00,-0.14129817362075336,-0.9899669548093885,0.0005044966459086689,2,0
5751,2014-04-05 03:16:00,40.76,-73.9877,B02512,4,Saturday,5,3,16,2014-04-05,03:15:00,-0.15906792753788931,-0.9839706840307663,0.08061691755969483,0,0
5752,2014-04-05 03:18:00,40.7626,-73.9718,B02512,4,Saturday,5,3,18,2014-04-05,03:15:00,-0.14343301763252053,-0.9865794704795791,0.07802511058026396,2,0
5753,2014-04-05 03:25:00,40.7256,-74.0031,B02512,4,Saturday,5,3,25,2014-04-05,03:30:00,-0.17361397206842794,-0.9780938363378282,0.11485049421126962,0,0
5754,2014-04-05 03:25:00,40.7256,-74.0031,B02512,4,Saturday,5,3,25,2014-04-05,03:30:00,-0.17361397206842794,-0.9780938363378282,0.11485049421126962,0,0
5755,2014-04-05 03:32:00,40.7158,-74.0429,B02512,4,Saturday,5,3,32,2014-04-05,03:30:00,-0.21214349778792302,-0.9692651681901983,0.1245799746328926,0,0
5756,2014-04-05 03:47:00,40.7393,-73.9828,B02512,4,Saturday,5,3,47,2014-04-05,03:45:00,-0.1539533150780261,-0.9828787831479129,0.10123079775524922,0,0
5757,2014-04-05 03:47:00,40.7393,-73.9828,B02512,4,Saturday,5,3,47,2014-04-05,03:45:00,-0.1539533150780261,-0.9828787831479129,0.10123079775524922,0,0
5758,2014-04-05 03:55:00,40.7576,-73.9985,B02512,4,Saturday,5,3,55,2014-04-05,04:00:00,-0.16965190089937607,-0.9820019143457329,0.08300887146892331,0,0
14072,2014-04-12 03:10:00,40.7211,-74.0111,B02512,4,Saturday,12,3,10,2014-04-12,03:15:00,-0.18133685280634826,-0.9761556194951494,0.11931953881209043,0,0
14073,2014-04-12 03:10:00,40.7421,-74.0039,B02512,4,Saturday,12,3,10,2014-04-12,03:15:00,-0.17470532564542224,-0.9796870280123425,0.09844478825956443,0,0
14074,2014-04-12 03:13:00,40.7443,-73.9839,B02512,4,Saturday,12,3,13,2014-04-12,03:15:00,-0.15511132659022756,-0.9831965243385073,0.09625523825797042,0,0
14075,2014-04-12 03:16:00,40.7508,-74.0037,B02512,4,Saturday,12,3,16,2014-04-12,03:15:00,-0.17465297013268832,-0.9805280594481587,0.0897834319830692,0,0
14076,2014-04-12 03:20:00,40.7407,-74.0056,B02512,4,Saturday,12,3,20,2014-04-12,03:15:00,-0.17634594099043271,-0.9792520128379192,0.09983789084852741,0,0
14077,2014-04-12 03:20:00,40.7407,-74.0056,B02512,4,Saturday,12,3,20,2014-04-12,03:15:00,-0.17634594099043271,-0.9792520128379192,0.09983789084852741,0,0
14078,2014-04-12 03:29:00,40.7215,-73.9946,B02512,4,Saturday,12,3,29,2014-04-12,03:30:00,-0.165214260447872,-0.9790616497621856,0.1189223869152066,0,0
14079,2014-04-12 03:31:00,40.7419,-74.0038,B02512,4,Saturday,12,3,31,2014-04-12,03:30:00,-0.17460389795953524,-0.979685090537046,0.09864381479219102,0,0
14080,2014-04-12 03:39:00,40.7473,-73.9725,B02512,4,Saturday,12,3,39,2014-04-12,03:45:00,-0.14393414759593404,-0.9851821676122885,0.09326873953573435,0,0
14081,2014-04-12 03:44:00,40.7401,-74.0033,B02512,4,Saturday,12,3,44,2014-04-12,03:45:00,-0.17408268455097883,-0.9795958630010935,0.10043487507169625,0,0
14082,2014-04-12 03:47:00,40.7443,-74.0067,B02512,4,Saturday,12,3,47,2014-04-12,03:45:00,-0.17748595040754236,-0.9794047511196955,0.09625523825797042,0,0
14083,2014-04-12 03:47:00,41.0546,-73.5821,B02512,4,Saturday,12,3,47,2014-04-12,03:45:00,0.23733914892826422,-0.9479516477133167,-0.21226823121610802,1,-1
14084,2014-04-12 03:58:00,40.7084,-74.0149,B02512,4,Saturday,12,3,58,2014-04-12,04:00:00,-0.1847475838063092,-0.9738920617627714,0.13191884745247345,0,0
21509,2014-04-19 03:07:00,40.7396,-74.0002,B02512,4,Saturday,19,3,7,2014-04-19,03:00:00,-0.1710364512936142,-0.9800812191950428,0.10093233431386381,0,0
21510,2014-04-19 03:09:00,40.7381,-74.0092,B02512,4,Saturday,19,3,9,2014-04-19,03:15:00,-0.17982256513076394,-0.9783522139541604,0.10242456014445464,0,0
21511,2014-04-19 03:23:00,40.7441,-74.0068,B02512,4,Saturday,19,3,23,2014-04-19,03:30:00,-0.17758045181943807,-0.979368035859764,0.09645430766841083,0,0
21512,2014-04-19 03:24:00,40.7502,-74.0025,B02512,4,Saturday,19,3,24,2014-04-19,03:30:00,-0.17346679669942688,-0.9806837138569544,0.09038099257349852,0,0
21513,2014-04-19 03:33:00,40.785,-73.9827,B02512,4,Saturday,19,3,33,2014-04-19,03:30:00,-0.15440958973725252,-0.9864369700281097,0.05567569271177022,2,0
21514,2014-04-19 03:42:00,40.6811,-73.845,B02512,4,Saturday,19,3,42,2014-04-19,03:45:00,-0.01734840330134266,-0.9871377844921552,0.15892774248322236,1,0
21515,2014-04-19 03:54:00,40.764,-73.9785,B02512,4,Saturday,19,3,54,2014-04-19,04:00:00,-0.1500561239864831,-0.9857033578283774,0.07662930261991877,0,0
21516,2014-04-19 03:56:00,40.7091,-74.0094,B02512,4,Saturday,19,3,56,2014-04-19,04:00:00,-0.17940507756721816,-0.9749840178936742,0.1312249328253132,0,0
28730,2014-04-26 03:03:00,40.7215,-73.9888,B02512,4,Saturday,26,3,3,2014-04-26,03:00:00,-0.15953295582089902,-0.9800034193294618,0.1189223869152066,0,0
28731,2014-04-26 03:03:00,40.7518,-74.0042,B02512,4,Saturday,26,3,3,2014-04-26,03:00:00,-0.17515891346055493,-0.9805285044451019,0.08878742594517476,0,0
28732,2014-04-26 03:09:00,40.7214,-73.9885,B02512,4,Saturday,26,3,9,2014-04-26,03:15:00,-0.15923703958212282,-0.9800394919116355,0.11902167667574207,0,0
28733,2014-04-26 03:09:00,40.7574,-73.9882,B02512,4,Saturday,26,3,9,2014-04-26,03:15:00,-0.1595258001004415,-0.9836808008470611,0.08320817956906999,0,0
28734,2014-04-26 03:18:00,40.7565,-73.988,B02512,4,Saturday,26,3,18,2014-04-26,03:15:00,-0.15931702297041345,-0.9836383639373101,0.0841050247165805,0,0
28735,2014-04-26 03:25:00,40.7421,-74.0039,B02512,4,Saturday,26,3,25,2014-04-26,03:30:00,-0.17470532564542224,-0.9796870280123425,0.09844478825956443,0,0
28736,2014-04-26 03:25:00,40.7316,-73.9903,B02512,4,Saturday,26,3,25,2014-04-26,03:30:00,-0.16118933091003806,-0.9808982449361489,0.10888816594082751,0,0
28737,2014-04-26 03:27:00,40.7419,-74.0035,B02512,4,Saturday,26,3,27,2014-04-26,03:30:00,-0.1743099845796115,-0.9797374276198186,0.09864381479219102,0,0
28738,2014-04-26 03:28:00,40.7359,-74.0322,B02512,4,Saturday,26,3,28,2014-04-26,03:30:00,-0.20222881127979378,-0.9737349138614108,0.10461274021682311,0,0
28739,2014-04-26 03:28:00,40.7359,-74.0322,B02512,4,Saturday,26,3,28,2014-04-26,03:30:00,-0.20222881127979378,-0.9737349138614108,0.10461274021682311,0,0
28740,2014-04-26 03:34:00,40.7215,-73.9776,B02512,4,Saturday,26,3,34,2014-04-26,03:30:00,-0.14854714119294707,-0.981728685907564,0.1189223869152066,0,0
28741,2014-04-26 03:37:00,40.7207,-74.0012,B02512,4,Saturday,26,3,37,2014-04-26,03:30:00,-0.17165591784988085,-0.9778559016561997,0.11971667161784828,0,0
28742,2014-04-26 03:42:00,40.7714,-73.9896,B02512,4,Saturday,26,3,42,2014-04-26,03:45:00,-0.16107511234062108,-0.9845097155278476,0.06924903043171808,0,0
28743,2014-04-26 03:43:00,40.6504,-74.0143,B02512,4,Saturday,26,3,43,2014-04-26,03:45:00,-0.18243282650042622,-0.964851051437162,0.18915790323343148,4,0
28744,2014-04-26 03:52:00,40.7255,-74.0031,B02512,4,Saturday,26,3,52,2014-04-26,03:45:00,-0.17361196395293066,-0.9780825231620098,0.1149498319156793,0,0
28745,2014-04-26 03:57:00,40.7849,-73.9765,B02512,4,Saturday,26,3,57,2014-04-26,04:00:00,-0.14828992431970522,-0.9873698333357661,0.05577553732378894,2,0
